country,origin_count,transit_count,destination_count,seizure_count,incident_counts,total_incidents
albania,1,0,0,0,1,1
algeria,0,0,1,0,1,1
angola,12,2,0,11,22,25
anguilla,0,0,0,0,0,0
antigua and barbuda,0,0,0,0,0,0
argentina,0,0,0,0,0,0
armenia,0,0,0,0,0,0
aruba,0,0,0,0,0,0
australia,8,0,5,16,17,29
austria,0,2,0,3,4,5
azerbaijan,0,0,0,0,0,0
bahamas,0,0,0,0,0,0
bahrain,0,0,0,0,0,0
bangladesh,0,0,1,2,2,3
barbados,0,0,1,0,1,1
belarus,0,0,0,0,0,0
belgium,0,2,0,2,3,4
belize,0,0,0,0,0,0
benin,1,0,0,1,1,2
bermuda,0,0,0,0,0,0
bolivia,0,0,0,0,0,0
bosnia and herzegovina,0,0,0,0,0,0
botswana,0,0,0,0,0,0
brazil,8,8,7,14,25,37
british virgin islands,0,0,0,0,0,0
brunei,0,0,0,0,0,0
bulgaria,0,1,0,1,1,2
burkina faso,0,0,0,0,0,0
burma,4,0,0,0,4,4
burundi,0,0,0,0,0,0
cambodia,11,0,1,2,13,14
cameroon,2,3,0,6,8,11
canada,5,0,2,3,8,10
cape verde,0,0,0,0,0,0
cayman islands,0,0,1,1,1,2
central african republic,4,1,0,0,4,5
chad,0,0,0,0,0,0
chile,0,0,0,0,0,0
china,21,31,290,560,592,902
christmas island,0,0,0,0,0,0
cocos (keeling) islands,0,0,0,0,0,0
colombia,3,3,1,7,10,14
comoros,1,0,0,0,1,1
congo (brazzaville),2,0,0,0,2,2
congo (kinshasa),9,2,1,12,20,24
cook islands,0,0,0,0,0,0
costa rica,0,0,0,0,0,0
cote d'ivoire,1,0,0,0,1,1
croatia,1,0,0,1,1,2
cuba,1,0,0,1,1,2
cyprus,0,0,0,0,0,0
czech republic,0,0,0,0,0,0
denmark,0,0,1,0,1,1
djibouti,0,0,0,0,0,0
dominica,0,0,0,0,0,0
dominican republic,0,0,0,0,0,0
east timor,0,0,0,0,0,0
ecuador,0,0,0,1,1,1
egypt,9,3,0,4,15,16
el salvador,0,0,0,0,0,0
equatorial guinea,1,0,0,0,1,1
eritrea,0,0,0,0,0,0
estonia,0,0,0,0,0,0
ethiopia,49,23,0,3,73,75
faroe islands,0,0,0,0,0,0
fiji,0,0,0,0,0,0
finland,0,0,0,0,0,0
france,4,4,3,10,15,21
french guiana,0,0,0,0,0,0
french polynesia,0,0,0,0,0,0
gabon,1,0,0,1,1,2
gambia,0,0,0,0,0,0
georgia,0,0,0,0,0,0
germany,11,7,6,30,37,54
ghana,5,0,0,0,5,5
gibraltar,0,0,0,0,0,0
greece,1,0,0,0,1,1
greenland,0,0,0,0,0,0
grenada,0,0,0,0,0,0
guadeloupe,1,0,0,0,1,1
guam,0,0,0,0,0,0
guatemala,0,0,0,0,0,0
guernsey,0,0,0,0,0,0
guinea,1,0,0,0,1,1
guinea-bissau,0,0,0,0,0,0
guyana,6,0,0,0,6,6
haiti,0,0,0,0,0,0
honduras,0,0,0,0,0,0
hong kong,17,27,65,55,126,164
hungary,0,0,0,0,0,0
iceland,0,0,0,0,0,0
india,13,12,16,58,73,99
indonesia,34,8,23,49,80,114
iran,0,0,0,0,0,0
iraq,0,0,0,0,0,0
ireland,0,0,1,2,2,3
isle of man,0,0,0,0,0,0
israel,0,1,2,2,3,5
italy,4,4,5,15,19,28
jamaica,0,0,0,0,0,0
japan,8,2,6,2,16,18
jersey,0,0,0,0,0,0
jordan,1,0,1,1,2,3
kazakhstan,1,0,0,1,1,2
kenya,7,17,0,14,27,38
kuwait,0,0,0,0,0,0
kyrgyzstan,0,0,0,0,0,0
laos,9,0,7,0,16,16
latvia,0,0,0,0,0,0
lebanon,1,1,2,2,4,6
lesotho,0,0,0,0,0,0
liberia,2,0,0,0,2,2
libya,0,0,0,0,0,0
lithuania,1,0,0,0,1,1
luxembourg,0,0,0,0,0,0
macau,1,2,3,0,6,6
macedonia,0,0,0,0,0,0
madagascar,9,0,0,7,10,16
malawi,3,0,0,1,3,4
malaysia,16,6,11,25,47,58
maldives,0,0,0,0,0,0
mali,0,0,1,0,1,1
malta,0,1,0,1,1,2
marshall islands,0,0,0,0,0,0
martinique,0,0,0,0,0,0
mauritania,0,0,0,0,0,0
mauritius,0,0,0,0,0,0
mayotte,0,0,1,0,1,1
mexico,28,16,14,53,74,111
micronesia,0,0,0,0,0,0
moldova,0,0,0,0,0,0
montenegro,0,0,0,0,0,0
morocco,4,2,0,4,7,10
mozambique,15,0,0,12,16,27
namibia,2,0,0,1,2,3
nepal,0,1,0,2,2,3
netherlands,2,4,1,9,10,16
netherlands antilles,0,0,0,0,0,0
new zealand,0,0,3,3,3,6
nicaragua,1,0,0,0,1,1
niger,0,0,0,0,0,0
nigeria,7,2,0,4,11,13
northern mariana islands,0,0,0,0,0,0
norway,0,0,0,0,0,0
oman,0,0,0,0,0,0
pakistan,1,0,2,3,3,6
palau,0,0,0,0,0,0
panama,1,0,0,1,2,2
papua new guinea,2,0,0,0,2,2
paraguay,0,0,0,0,0,0
peru,4,1,0,4,5,9
philippines,9,3,10,25,36,47
poland,0,1,0,1,1,2
portugal,2,0,1,3,5,6
puerto rico,0,0,0,0,0,0
qatar,5,25,2,2,32,34
reunion,0,1,0,0,1,1
romania,0,0,0,0,0,0
russia,9,3,10,14,26,36
rwanda,0,0,0,0,0,0
saint kitts and nevis,0,0,0,0,0,0
saint lucia,0,0,0,0,0,0
saint vincent and the grenadines,0,0,0,0,0,0
samoa,0,0,0,0,0,0
sao tome and principe,0,0,0,0,0,0
saudi arabia,0,0,0,0,0,0
serbia,0,0,0,0,0,0
seychelles,1,0,0,0,1,1
sierra leone,1,0,0,0,1,1
singapore,4,9,12,7,26,32
slovakia,0,0,0,0,0,0
slovenia,0,0,0,0,0,0
somalia,0,0,0,0,0,0
south africa,32,9,0,22,45,63
south korea,2,2,2,0,6,6
south sudan,0,1,0,2,2,3
spain,6,2,8,8,17,24
sri lanka,1,3,4,5,10,13
sudan,0,0,0,0,0,0
suriname,2,0,0,0,2,2
sweden,0,0,0,0,0,0
switzerland,0,0,1,4,4,5
taiwan,2,4,6,10,18,22
tajikistan,1,0,0,0,1,1
tanzania,2,3,2,1,7,8
thailand,31,15,10,16,63,72
togo,1,0,0,0,1,1
trinidad and tobago,0,0,0,0,0,0
tunisia,0,0,0,0,0,0
turkey,4,10,3,7,19,24
turkmenistan,0,0,0,0,0,0
turks and caicos islands,0,0,0,0,0,0
uganda,3,2,0,4,5,9
ukraine,3,0,0,2,4,5
united arab emirates,8,16,7,1,30,32
united kingdom,2,1,6,5,10,14
united states,5,12,22,45,58,84
uruguay,0,0,0,0,0,0
uzbekistan,0,0,1,0,1,1
venezuela,0,0,0,0,0,0
vietnam,13,2,40,39,65,94
virgin islands,0,0,0,0,0,0
western sahara,0,0,0,0,0,0
zambia,3,0,0,3,4,6
zimbabwe,4,0,0,1,4,5
